Hilo,TiempoObtenerLogger(ns),TiempoEscritura50Mensajes(ns)
Thread 1,554500,75280000
Thread 2,426400,48960300
Thread 3,564300,61699700
Thread 4,352600,45653200
Thread 1,770300,62714000
Thread 2,404500,80477400
Thread 3,529100,52066700
Thread 4,701200,35172300
Thread 1,621200,24489300
Thread 2,634800,71380200
Thread 3,568000,64533700
Thread 4,547200,41839900
Thread 1,492500,24255400
Thread 2,444600,70602600
Thread 3,511000,39558200
Thread 4,321600,63995400
Thread 1,699500,25095900
Thread 2,573800,69636900
Thread 3,676400,61209200
Thread 4,430500,40622200
Thread 1,681300,133160300
Thread 2,657600,146053600
Thread 3,601100,130543500
Thread 4,600900,141247100
Thread 1,613800,26344300
Thread 2,595100,54005500
Thread 3,650000,64615500
Thread 4,526400,78143500
Thread 1,639000,77028500
Thread 2,714000,74260500
Thread 3,544500,64972500
Thread 4,637900,55958600
Thread 1,501600,73290500
Thread 2,240800,62630800
Thread 3,366000,46760100
Thread 4,529200,29597500
Thread 1,651400,25510900
Thread 2,582000,72500200
Thread 3,615600,77208700
Thread 4,555900,49450300
Thread 1,688500,68754800
Thread 2,487000,62601200
Thread 3,369500,80702400
Thread 4,671000,61909400
Thread 1,720400,83754800
Thread 2,695000,87257300
Thread 3,658500,105845300
Thread 4,771300,102330600
Thread 1,601100,25542600
Thread 2,423700,58727400
Thread 3,497000,73020300
Thread 4,221900,47759900
Thread 1,649000,66803700
Thread 2,459000,53318300
Thread 3,604700,27115500
Thread 4,385900,70419400
Thread 1,573500,59064500
Thread 2,444500,51538200
Thread 3,621200,33170900
Thread 4,294500,80635200
Thread 1,571900,62721700
Thread 2,432400,40127800
Thread 3,608600,63799500
Thread 4,272500,72226300
Thread 1,400,69407100
Thread 2,600,62567700
Thread 3,700,52540300
Thread 4,1033400,25075100
Thread 1,559700,66938400
Thread 2,412400,76504900
Thread 3,554500,68175200
Thread 4,242800,43633500
Thread 1,748600,24949400
Thread 2,770300,69095100
Thread 3,520500,64056500
