Hilo,TiempoObtenerLogger(ns),TiempoEscritura50Mensajes(ns)
Thread 1,667000,31406400
Thread 2,658500,76525100
Thread 3,570000,60961400
Thread 4,720700,46091400
Thread 1,739500,73972400
Thread 2,762900,57550100
Thread 3,552900,42530000
Thread 4,383900,69085400
Thread 1,599800,66531100
Thread 2,568200,23962500
Thread 3,669800,52938900
Thread 4,469400,38184300
Thread 1,577800,51668400
Thread 2,574100,36104300
Thread 3,454700,76670800
Thread 4,493900,78304500
Thread 1,699300,27770900
Thread 2,844300,73175400
Thread 3,606600,59890100
Thread 4,845300,44365600
Thread 1,574800,55458800
Thread 2,609600,72890800
Thread 3,454100,74269800
Thread 4,324600,41255500
Thread 1,509200,56818900
Thread 2,571200,41336000
Thread 3,417000,65224500
Thread 4,309100,70069300
Thread 1,499200,71039700
Thread 2,525400,61292100
Thread 3,481000,47586800
Thread 4,414000,32134800
Thread 1,584600,71711100
Thread 2,585900,57695500
Thread 3,602600,25492200
Thread 4,574400,41620700
Thread 1,619400,48880700
Thread 2,533700,41382500
Thread 3,673900,59131700
Thread 4,443100,72568500
Thread 1,888800,72912000
Thread 2,675800,42912800
Thread 3,982100,65893600
Thread 4,826500,76681000
Thread 1,609000,73408400
Thread 2,697000,30074200
Thread 3,600700,59749500
Thread 4,602900,62987700
Thread 1,578700,57687100
Thread 2,466300,45089400
Thread 3,633800,29584300
Thread 4,312200,70203000
Thread 1,697400,74549900
Thread 2,694900,39306400
Thread 3,511500,62598300
Thread 4,342300,54647800
Thread 1,553400,72862700
Thread 2,564100,50749700
Thread 3,396400,78735100
Thread 4,460500,30713200
Thread 1,482700,23836800
Thread 2,469500,70060200
Thread 3,536900,39576000
Thread 4,405400,62191600
Thread 1,552100,59832900
Thread 2,439000,65195700
Thread 3,601500,61124100
Thread 4,335000,81443400
Thread 1,581100,72400900
Thread 2,652600,22801200
Thread 3,643000,56913400
Thread 4,661000,39100100
Thread 1,567500,63125100
Thread 2,286300,78019700
Thread 3,448300,31946500
Thread 4,512600,68528500
Thread 1,598300,94836800
Thread 2,444600,101275600
Thread 3,561200,90921500
Thread 4,306000,117376000
Thread 1,544400,26466200
Thread 2,300900,86696900
Thread 3,634600,43833200
Thread 4,458200,62508000
Thread 1,541500,75894800
Thread 2,614600,24974100
Thread 3,365600,80039500
Thread 4,518800,59338100
Thread 1,534700,26534700
Thread 2,286100,67415000
Thread 3,558900,43219800
Thread 4,416500,77761200
Thread 1,583300,62863300
Thread 2,432200,59497900
Thread 3,581300,38247900
Thread 4,266500,73386200
Thread 1,644200,27346800
Thread 2,555800,60531600
Thread 3,661200,43932500
Thread 4,481600,76433100
Thread 1,654100,77221100
Thread 2,857400,71007900
Thread 3,735300,56123100
Thread 4,896900,34769400
Thread 1,600700,26769100
Thread 2,291500,76186200
Thread 3,444800,52098600
Thread 4,601400,62154900
Thread 1,1226900,63595000
Thread 2,1111500,37425400
Thread 3,1177500,75101600
Thread 4,1072200,51830900
Thread 1,678500,31109800
Thread 2,736100,92673700
Thread 3,713600,71737400
Thread 4,517700,49397900
Thread 1,648000,27133100
Thread 2,476400,76880500
Thread 3,655900,75100400
Thread 4,522400,66178900
Thread 1,701100,67089900
Thread 2,681600,76800600
Thread 3,751100,62353600
Thread 4,701000,51452200
Thread 1,794900,84555500
Thread 2,768800,69713600
Thread 3,801100,51947800
Thread 4,748700,44762800
Thread 1,914900,46176600
Thread 2,261800,80895700
Thread 3,598500,104101800
Thread 4,866200,101510600
Thread 1,1205700,56081200
Thread 2,455400,35215300
Thread 3,499500,39380500
Thread 4,265800,69952700
Thread 1,738500,78401300
Thread 2,529100,61459000
Thread 3,699200,57579000
Thread 4,781300,28160400
Thread 1,861100,63636200
Thread 2,1025800,82085400
Thread 3,1026500,69954600
Thread 4,1958800,27057900
Thread 1,533100,77930200
Thread 2,304400,53173100
Thread 3,593300,66987100
Thread 4,464100,36010200
Thread 1,927000,68422000
Thread 2,892000,79797000
Thread 3,779800,53603500
Thread 4,937400,24054400
Thread 1,759400,62246800
Thread 2,847600,35353000
Thread 3,745700,55360900
Thread 4,651400,73271000
Thread 1,627300,74795300
Thread 2,451700,73680500
Thread 3,664000,71073100
Thread 4,509000,58214400
Thread 1,640500,69143400
Thread 2,643100,61537700
Thread 3,563900,48418400
Thread 4,470600,65967700
Thread 1,809100,75173100
Thread 2,848500,33291400
Thread 3,770300,57441700
Thread 4,669800,69599000
Thread 1,733900,26197300
Thread 2,744900,65338000
Thread 3,715700,62166400
Thread 4,660900,75336100
Thread 1,648200,24384800
Thread 2,428600,59880500
Thread 3,524700,75506800
Thread 4,658400,40702600
Thread 1,570700,74623500
Thread 2,423200,42339400
Thread 3,574800,25324700
Thread 4,279400,58507100
Thread 1,714800,72547600
Thread 2,645800,41350400
Thread 3,626500,70852200
Thread 4,574900,75898800
Thread 1,572100,69496100
Thread 2,510500,61599200
Thread 3,671700,34473700
Thread 4,412600,75600600
Thread 1,1100,68325300
Thread 2,600,51180500
Thread 3,500,87721500
Thread 4,773800,26188500
Thread 1,482800,81500300
Thread 2,477700,71767200
Thread 3,320400,38568000
Thread 4,200900,77085600
Thread 1,538100,79905400
Thread 2,626200,76699200
Thread 3,321400,84547600
Thread 4,486400,54831300
Thread 1,764100,25137700
Thread 2,540400,76179200
Thread 3,458100,81695600
Thread 4,324900,84932800
Thread 1,566700,26205800
Thread 2,357200,63946500
Thread 3,669200,75919300
Thread 4,513300,44650500
Thread 1,669900,109016200
Thread 2,611400,112907200
Thread 3,611200,60562900
Thread 4,562500,94152000
Thread 1,564100,25322300
Thread 2,426000,68360000
Thread 3,575800,76410200
Thread 4,271400,77409800
Thread 1,662600,76252700
Thread 2,633100,48113100
Thread 3,554600,67788000
Thread 4,366600,64152400
Thread 1,597200,76438400
Thread 2,496800,45521400
Thread 3,640200,52111400
Thread 4,380600,84371100
Thread 1,501300,77146700
Thread 2,416500,45869200
Thread 3,531300,60280900
Thread 4,304900,78018000
Thread 1,540000,28612000
Thread 2,429100,78455400
Thread 3,575300,69907200
Thread 4,320800,82950500
Thread 1,609400,75474400
Thread 2,545600,61145600
Thread 3,465900,23177200
Thread 4,406300,68349900
Thread 1,1374400,27442400
Thread 2,1423300,64505600
Thread 3,1371900,62239100
Thread 4,1192600,76150000
Thread 1,589500,25390300
Thread 2,577700,41671900
Thread 3,529400,67835300
Thread 4,456000,74224400
Thread 1,477000,74494200
Thread 2,499300,29572100
Thread 3,424300,65930700
Thread 4,334700,60513700
Thread 1,855800,89953200
Thread 2,823300,68851100
Thread 3,641800,78480700
Thread 4,621900,38509900
Thread 1,583400,26623300
Thread 2,382300,77872100
Thread 3,448400,60606700
Thread 4,572400,44026400
Thread 1,1296500,75228900
Thread 2,390300,64686600
Thread 3,813300,38251300
Thread 4,1249700,52312100
Thread 1,514200,25163500
Thread 2,518600,68935500
Thread 3,362700,74953300
Thread 4,247200,60565100
Thread 1,565400,74545500
Thread 2,445100,40331700
Thread 3,593900,62441000
Thread 4,485800,57106300
Thread 1,608700,25628200
Thread 2,327900,76425700
Thread 3,630000,41585100
Thread 4,473500,59721200
Thread 1,701700,28461300
Thread 2,1012100,108583900
Thread 3,821900,57727200
Thread 4,1215900,80542500
Thread 1,602500,70381800
Thread 2,464100,38328100
Thread 3,610200,61241100
Thread 4,305200,74747000
Thread 1,818400,76517200
Thread 2,884300,65060400
Thread 3,761300,45603500
Thread 4,688000,62520000
Thread 1,626600,57947200
Thread 2,643100,35112500
Thread 3,626500,75903400
Thread 4,632900,68682200
Thread 1,574500,74627800
Thread 2,597000,69245400
Thread 3,461300,48738400
Thread 4,328800,65838300
Thread 1,598400,73039700
Thread 2,491000,64720100
Thread 3,598700,70826200
Thread 4,334900,43981300
Thread 1,557200,27373000
Thread 2,575100,78540800
Thread 3,275400,70853000
Thread 4,431900,61248400
Thread 1,1608300,99355000
Thread 2,2171600,65237400
Thread 3,1772700,102957000
Thread 4,1733000,80284600
Thread 1,583400,79771100
Thread 2,545100,31870900
Thread 3,643000,65181600
Thread 4,387000,51086000
Thread 1,562700,70592600
Thread 2,556500,73207500
Thread 3,522500,24390300
Thread 4,480900,66741900
Thread 1,630400,77275200
Thread 2,691200,71709300
Thread 3,615700,37104700
Thread 4,548800,76334200
Thread 1,585400,25453100
Thread 2,281500,65998500
Thread 3,428100,75996200
Thread 4,554400,42777600
Thread 1,537500,68485400
Thread 2,266600,73149300
Thread 3,142600,51258100
Thread 4,455600,78345600
Thread 1,499100,70613700
Thread 2,490100,51622400
Thread 3,344000,48797800
Thread 4,253500,61569100
Thread 1,593800,43317400
Thread 2,451500,70318100
Thread 3,631900,53016500
Thread 4,279700,71043100
Thread 1,650200,54202300
Thread 2,638500,74635900
Thread 3,488100,50105800
Thread 4,316500,67080800
Thread 1,503100,58605600
Thread 2,376500,64045700
Thread 3,528900,30843300
Thread 4,278600,70376800
Thread 1,567900,49786000
Thread 2,541800,58118000
Thread 3,611300,29417200
Thread 4,391400,72167900
Thread 1,612300,77441400
Thread 2,497200,72543800
Thread 3,346300,73360100
Thread 4,607100,40156900
Thread 1,674100,25652500
Thread 2,534400,59243100
Thread 3,734800,78175200
Thread 4,340300,75589500
Thread 1,599900,24572700
Thread 2,598300,68829600
Thread 3,438400,62904700
Thread 4,289300,74217400
Thread 1,500,74316900
Thread 2,900,64654300
